Date,Open,High,Low,Close,Volume,Market Cap
Sep-24-2020,10233.35355,10763.75373,10219.33396,10731.5324,28632863995,1.9316E+11
Sep-23-2020,10529.27889,10530.33233,10180.50587,10231.05131,24341912906,1.92974E+11
Sep-22-2020,10415.09966,10557.44493,10365.73469,10531.35154,31760586511,1.93612E+11
Sep-21-2020,10920.98771,10982.25948,10349.49248,10427.87773,32049045620,1.97525E+11
Sep-20-2020,11083.42857,11083.42857,10779.61933,10914.68741,27984393948,2.01894E+11
Sep-19-2020,10933.95257,11139.96595,10892.86924,11076.85089,29847423554,2.03595E+11
Sep-18-2020,10939.78468,11018.74396,10821.36723,10916.97092,33299227980,2.01993E+11
Sep-17-2020,10943.45099,11036.74464,10767.36196,10934.41967,38373393891,2.01351E+11
Sep-16-2020,10782.04128,11079.28996,10675.81759,10946.92123,38086295936,2.01367E+11
Sep-15-2020,10671.46223,10926.45873,10637.48773,10782.9998,36621455088,1.99132E+11
Sep-14-2020,10327.098,10737.48359,10252.7029,10665.11372,31933742977,1.94196E+11
Sep-13-2020,10441.28802,10558.52097,10218.63689,10315.66641,28367164217,1.92128E+11
Sep-12-2020,10385.22962,10476.9701,10275.98711,10438.37739,27091848643,1.91681E+11
Sep-11-2020,10336.83248,10386.96006,10215.87187,10374.77815,32078835060,1.9037E+11
Sep-10-2020,10222.60712,10464.14079,10222.60712,10334.63865,32645377052,1.90999E+11
Sep-09-2020,10116.66556,10335.32472,9983.509539,10214.15437,37822798641,1.88204E+11
Sep-08-2020,10373.81967,10397.84253,9893.738058,10112.20637,40939773952,1.87507E+11
Sep-07-2020,10248.394,10392.07319,9896.301801,10356.44438,41532337191,1.87749E+11
Sep-06-2020,10170.03555,10339.13787,9998.060703,10257.22974,56682146859,1.88481E+11
Sep-05-2020,10448.69017,10547.91697,9902.977529,10129.78665,47745079005,1.89709E+11
Sep-04-2020,10158.23688,10602.9688,10108.68494,10473.51945,51279765459,1.91811E+11
